spot_size,shape,area
7,c,38.484510006475
9,s,81
10,c,78.5398163397448
13,s,169
15,c,176.714586764426
19,s,361
23,c,415.47562843725
28,s,784
33,c,855.298599939821
40,s,1600
50,c,1963.49540849362
60,s,3600
75,c,4417.86466911065
90,c,6361.72512351933
108,s,11664
130,c,13273.2289614169
160,s,25600
193,c,29255.2961883916
235,s,55225
285,c,63793.9658219577
